Date,Coral ID,Feeding,Feeding_binary
26-May,R-13 H D,Y,1
27-May,R-13 H D,Y,1
28-May,R-13 H D,Y,1
25-May,R-13 H V,Y,1
26-May,R-13 H V,Y,1
27-May,R-13 H V,Y,1
28-May,R-13 H V,Y,1
29-May,R-13 H V,Y,1
30-May,R-13 H V,Y,1
31-May,R-13 H V,Y,1
1-Jun,R-13 H V,Y,1
2-Jun,R-13 H V,Y,1
3-Jun,R-13 H V,Y,1
4-Jun,R-13 H V,Y,1
5-Jun,R-13 H V,Y,1
28-May,R-14 A D,Y,1
30-May,R-14 A D,Y,1
31-May,R-14 A D,Y,1
25-May,R-14 A V,Y,1
26-May,R-14 A V,Y,1
27-May,R-14 A V,Y,1
28-May,R-14 A V,Y,1
29-May,R-14 A V,Y,1
30-May,R-14 A V,Y,1
31-May,R-14 A V,Y,1
1-Jun,R-14 A V,Y,1
2-Jun,R-14 A V,Y,1
3-Jun,R-14 A V,Y,1
4-Jun,R-14 A V,Y,1
5-Jun,R-14 A V,Y,1
25-May,R-14 H D,Y,1
26-May,R-14 H D,Y,1
27-May,R-14 H D,Y,1
28-May,R-14 H D,Y,1
26-May,R-14 H V,Y,1
27-May,R-14 H V,Y,1
28-May,R-14 H V,Y,1
29-May,R-14 H V,Y,1
30-May,R-14 H V,Y,1
31-May,R-14 H V,Y,1
1-Jun,R-14 H V,Y,1
2-Jun,R-14 H V,Y,1
3-Jun,R-14 H V,Y,1
4-Jun,R-14 H V,Y,1
5-Jun,R-14 H V,Y,1
28-May,R-15 A D,Y,1
25-May,R-15 A V,Y,1
26-May,R-15 A V,Y,1
27-May,R-15 A V,Y,1
28-May,R-15 A V,Y,1
29-May,R-15 A V,Y,1
30-May,R-15 A V,Y,1
31-May,R-15 A V,Y,1
1-Jun,R-15 A V,Y,1
2-Jun,R-15 A V,Y,1
3-Jun,R-15 A V,Y,1
4-Jun,R-15 A V,Y,1
5-Jun,R-15 A V,Y,1
25-May,R-15 H D,Y,1
26-May,R-15 H D,Y,1
27-May,R-15 H D,Y,1
28-May,R-15 H D,Y,1
29-May,R-15 H D,Y,1
30-May,R-15 H D,Y,1
31-May,R-15 H D,Y,1
26-May,R-15 H V,Y,1
27-May,R-15 H V,Y,1
28-May,R-15 H V,Y,1
29-May,R-15 H V,Y,1
30-May,R-15 H V,Y,1
31-May,R-15 H V,Y,1
1-Jun,R-15 H V,Y,1
2-Jun,R-15 H V,Y,1
3-Jun,R-15 H V,Y,1
4-Jun,R-15 H V,Y,1
5-Jun,R-15 H V,Y,1
25-May,R-2 A D,Y,1
30-May,R-2 A D,Y,1
25-May,R-2 A V,Y,1
26-May,R-2 A V,Y,1
27-May,R-2 A V,Y,1
28-May,R-2 A V,Y,1
29-May,R-2 A V,Y,1
30-May,R-2 A V,Y,1
31-May,R-2 A V,Y,1
1-Jun,R-2 A V,Y,1
2-Jun,R-2 A V,Y,1
3-Jun,R-2 A V,Y,1
4-Jun,R-2 A V,Y,1
5-Jun,R-2 A V,Y,1
25-May,R-2 H D,Y,1
26-May,R-2 H D,Y,1
27-May,R-2 H D,Y,1
25-May,R-3 A D,Y,1
26-May,R-3 A D,Y,1
29-May,R-3 A D,Y,1
1-Jun,R-3 A D,Y,1
25-May,R-3 A V,Y,1
26-May,R-3 A V,Y,1
27-May,R-3 A V,Y,1
28-May,R-3 A V,Y,1
29-May,R-3 A V,Y,1
30-May,R-3 A V,Y,1
31-May,R-3 A V,Y,1
1-Jun,R-3 A V,Y,1
2-Jun,R-3 A V,Y,1
3-Jun,R-3 A V,Y,1
4-Jun,R-3 A V,Y,1
5-Jun,R-3 A V,Y,1
25-May,R-3 H D,Y,1
25-May,R-3 H V,Y,1
26-May,R-3 H V,Y,1
27-May,R-3 H V,Y,1
28-May,R-3 H V,Y,1
29-May,R-3 H V,Y,1
30-May,R-3 H V,Y,1
31-May,R-3 H V,Y,1
1-Jun,R-3 H V,Y,1
2-Jun,R-3 H V,Y,1
3-Jun,R-3 H V,Y,1
4-Jun,R-3 H V,Y,1
5-Jun,R-3 H V,Y,1
25-May,R-4 A V,Y,1
26-May,R-4 A V,Y,1
27-May,R-4 A V,Y,1
28-May,R-4 A V,Y,1
29-May,R-4 A V,Y,1
30-May,R-4 A V,Y,1
31-May,R-4 A V,Y,1
1-Jun,R-4 A V,Y,1
2-Jun,R-4 A V,Y,1
3-Jun,R-4 A V,Y,1
4-Jun,R-4 A V,Y,1
5-Jun,R-4 A V,Y,1
30-May,R-4 H D,Y,1
25-May,R-4 H V,Y,1
26-May,R-4 H V,Y,1
27-May,R-4 H V,Y,1
28-May,R-4 H V,Y,1
29-May,R-4 H V,Y,1
30-May,R-4 H V,Y,1
31-May,R-4 H V,Y,1
1-Jun,R-4 H V,Y,1
2-Jun,R-4 H V,Y,1
3-Jun,R-4 H V,Y,1
4-Jun,R-4 H V,Y,1
5-Jun,R-4 H V,Y,1
29-May,R-5 A D,Y,1
27-May,R-5 A V,Y,1
28-May,R-5 A V,Y,1
29-May,R-5 A V,Y,1
30-May,R-5 A V,Y,1
31-May,R-5 A V,Y,1
1-Jun,R-5 A V,Y,1
2-Jun,R-5 A V,Y,1
3-Jun,R-5 A V,Y,1
4-Jun,R-5 A V,Y,1
5-Jun,R-5 A V,Y,1
28-May,R-5 H D,Y,1
29-May,R-5 H D,Y,1
30-May,R-5 H D,Y,1
2-Jun,R-5 H D,Y,1
3-Jun,R-5 H D,Y,1
4-Jun,R-5 H D,Y,1
5-Jun,R-5 H D,Y,1
25-May,R-5 H V,Y,1
26-May,R-5 H V,Y,1
27-May,R-5 H V,Y,1
28-May,R-5 H V,Y,1
29-May,R-5 H V,Y,1
30-May,R-5 H V,Y,1
31-May,R-5 H V,Y,1
1-Jun,R-5 H V,Y,1
2-Jun,R-5 H V,Y,1
3-Jun,R-5 H V,Y,1
4-Jun,R-5 H V,Y,1
5-Jun,R-5 H V,Y,1
28-May,R-6 A D,Y,1
26-May,R-6 A V,Y,1
27-May,R-6 A V,Y,1
28-May,R-6 A V,Y,1
29-May,R-6 A V,Y,1
30-May,R-6 A V,Y,1
31-May,R-6 A V,Y,1
1-Jun,R-6 A V,Y,1
2-Jun,R-6 A V,Y,1
3-Jun,R-6 A V,Y,1
4-Jun,R-6 A V,Y,1
5-Jun,R-6 A V,Y,1
27-May,R-6 H D,Y,1
28-May,R-6 H D,Y,1
31-May,R-6 H D,Y,1
1-Jun,R-6 H D,Y,1
2-Jun,R-6 H D,Y,1
3-Jun,R-6 H D,Y,1
4-Jun,R-6 H D,Y,1
5-Jun,R-6 H D,Y,1
25-May,R-6 H V,Y,1
26-May,R-6 H V,Y,1
27-May,R-6 H V,Y,1
28-May,R-6 H V,Y,1
29-May,R-6 H V,Y,1
30-May,R-6 H V,Y,1
31-May,R-6 H V,Y,1
1-Jun,R-6 H V,Y,1
2-Jun,R-6 H V,Y,1
3-Jun,R-6 H V,Y,1
4-Jun,R-6 H V,Y,1
5-Jun,R-6 H V,Y,1
26-May,R-7 A D,Y,1
28-May,R-7 A D,Y,1
29-May,R-7 A D,Y,1
30-May,R-7 A D,Y,1
25-May,R-7 A V,Y,1
26-May,R-7 A V,Y,1
27-May,R-7 A V,Y,1
28-May,R-7 A V,Y,1
29-May,R-7 A V,Y,1
30-May,R-7 A V,Y,1
31-May,R-7 A V,Y,1
1-Jun,R-7 A V,Y,1
2-Jun,R-7 A V,Y,1
3-Jun,R-7 A V,Y,1
4-Jun,R-7 A V,Y,1
5-Jun,R-7 A V,Y,1
28-May,R-7 H D,Y,1
29-May,R-7 H D,Y,1
25-May,R-7 H V,Y,1
26-May,R-7 H V,Y,1
27-May,R-7 H V,Y,1
28-May,R-7 H V,Y,1
29-May,R-7 H V,Y,1
30-May,R-7 H V,Y,1
31-May,R-7 H V,Y,1
1-Jun,R-7 H V,Y,1
2-Jun,R-7 H V,Y,1
3-Jun,R-7 H V,Y,1
4-Jun,R-7 H V,Y,1
5-Jun,R-7 H V,Y,1
28-May,R-8 A D,Y,1
25-May,R-8 A V,Y,1
26-May,R-8 A V,Y,1
27-May,R-8 A V,Y,1
28-May,R-8 A V,Y,1
29-May,R-8 A V,Y,1
30-May,R-8 A V,Y,1
31-May,R-8 A V,Y,1
1-Jun,R-8 A V,Y,1
2-Jun,R-8 A V,Y,1
3-Jun,R-8 A V,Y,1
4-Jun,R-8 A V,Y,1
5-Jun,R-8 A V,Y,1
27-May,R-8 H D,Y,1
29-May,R-8 H D,Y,1
1-Jun,R-8 H D,Y,1
2-Jun,R-8 H D,Y,1
3-Jun,R-8 H D,Y,1
4-Jun,R-8 H D,Y,1
5-Jun,R-8 H D,Y,1
25-May,R-8 H V,Y,1
28-May,R-8 H V,Y,1
29-May,R-8 H V,Y,1
30-May,R-8 H V,Y,1
31-May,R-8 H V,Y,1
1-Jun,R-8 H V,Y,1
2-Jun,R-8 H V,Y,1
3-Jun,R-8 H V,Y,1
4-Jun,R-8 H V,Y,1
5-Jun,R-8 H V,Y,1
26-May,R-9 A V,Y,1
27-May,R-9 A V,Y,1
28-May,R-9 A V,Y,1
29-May,R-9 A V,Y,1
30-May,R-9 A V,Y,1
31-May,R-9 A V,Y,1
1-Jun,R-9 A V,Y,1
2-Jun,R-9 A V,Y,1
3-Jun,R-9 A V,Y,1
4-Jun,R-9 A V,Y,1
5-Jun,R-9 A V,Y,1
1-Jun,R-9 H D,Y,1
2-Jun,R-9 H D,Y,1
3-Jun,R-9 H D,Y,1
4-Jun,R-9 H D,Y,1
5-Jun,R-9 H D,Y,1
26-May,R-9 H V,Y,1
27-May,R-9 H V,Y,1
28-May,R-9 H V,Y,1
29-May,R-9 H V,Y,1
30-May,R-9 H V,Y,1
31-May,R-9 H V,Y,1
1-Jun,R-9 H V,Y,1
2-Jun,R-9 H V,Y,1
3-Jun,R-9 H V,Y,1
4-Jun,R-9 H V,Y,1
5-Jun,R-9 H V,Y,1
25-May,V-1 H D,Y,1
25-May,V-10 A D,Y,1
26-May,V-10 A D,Y,1
25-May,V-10 H D,Y,1
28-May,V-11 A D,Y,1
25-May,V-11 H D,Y,1
27-May,V-11 H D,Y,1
25-May,V-12 A D,Y,1
28-May,V-12 A D,Y,1
25-May,V-13 H D,Y,1
25-May,V-15 H D,Y,1
27-May,V-15 H D,Y,1
25-May,V-2 A D,Y,1
27-May,V-2 A D,Y,1
25-May,V-3 H D,Y,1
26-May,V-3 H D,Y,1
25-May,V-4 H D,Y,1
26-May,V-4 H D,Y,1
25-May,V-7 A D,Y,1
25-May,V-7 H D,Y,1
26-May,V-7 H D,Y,1
28-May,V-9 A D,Y,1
25-May,R-1 A C,,
26-May,R-1 A C,,
27-May,R-1 A C,,
28-May,R-1 A C,,
29-May,R-1 A C,,
30-May,R-1 A C,,
31-May,R-1 A C,,
1-Jun,R-1 A C,,
2-Jun,R-1 A C,,
3-Jun,R-1 A C,,
4-Jun,R-1 A C,,
5-Jun,R-1 A C,,
25-May,R-1 H C,,
26-May,R-1 H C,,
27-May,R-1 H C,,
28-May,R-1 H C,,
29-May,R-1 H C,,
30-May,R-1 H C,,
31-May,R-1 H C,,
1-Jun,R-1 H C,,
2-Jun,R-1 H C,,
3-Jun,R-1 H C,,
4-Jun,R-1 H C,,
5-Jun,R-1 H C,,
25-May,R-10 A C,,
26-May,R-10 A C,,
27-May,R-10 A C,,
28-May,R-10 A C,,
29-May,R-10 A C,,
30-May,R-10 A C,,
31-May,R-10 A C,,
1-Jun,R-10 A C,,
2-Jun,R-10 A C,,
3-Jun,R-10 A C,,
4-Jun,R-10 A C,,
5-Jun,R-10 A C,,
25-May,R-10 H C,,
26-May,R-10 H C,,
27-May,R-10 H C,,
28-May,R-10 H C,,
29-May,R-10 H C,,
30-May,R-10 H C,,
31-May,R-10 H C,,
1-Jun,R-10 H C,,
2-Jun,R-10 H C,,
3-Jun,R-10 H C,,
4-Jun,R-10 H C,,
5-Jun,R-10 H C,,
25-May,R-11 A C,,
26-May,R-11 A C,,
27-May,R-11 A C,,
28-May,R-11 A C,,
29-May,R-11 A C,,
30-May,R-11 A C,,
31-May,R-11 A C,,
1-Jun,R-11 A C,,
2-Jun,R-11 A C,,
3-Jun,R-11 A C,,
4-Jun,R-11 A C,,
5-Jun,R-11 A C,,
25-May,R-11 H C,,
26-May,R-11 H C,,
27-May,R-11 H C,,
28-May,R-11 H C,,
29-May,R-11 H C,,
30-May,R-11 H C,,
